id,title,author,isbn,category,available
B0001,Practical Secrets (Vol. 1),Jennifer Miller,978-2-43-7706-2,Mathematics,true
B0002,Ultimate Systems,Thomas Martinez,978-1-53-8843-4,Business,true
B0003,Practical Secrets (Vol. 2),Linda Davis,978-4-48-7481-5,Chemistry,true
B0004,Mastering Systems,Robert White,978-4-89-9979-5,History,true
B0005,Advanced Future,Susan Smith,978-8-4-6866-7,Fiction,true
B0006,Ancient Journey,Karen Taylor,978-4-26-8771-5,Literature,true
B0007,Computational Database,Susan Wilson,978-7-5-9203-7,Biography,true
B0008,Introduction to Whispers,John Garcia,978-6-30-6114-5,Literature,true
B0009,Forgotten Universe,Karen Brown,978-3-24-9980-4,Computer Science,true
B0010,Ultimate Systems (Vol. 2),Elizabeth Davis,978-4-47-2528-1,Chemistry,true
B0011,Modern Dreams,Jessica Davis,978-6-93-2742-2,Fiction,true
B0012,Quantum Systems (Vol. 2),John Taylor,978-8-85-2470-0,Engineering,true
B0013,Introduction to History,Susan Garcia,978-4-8-7739-5,Engineering,true
B0014,Silent Principles,Jessica Johnson,978-3-64-5845-5,Physics,true
B0015,Dark Journey (Vol. 3),David Miller,978-6-41-2931-2,Physics,true
B0016,Hidden Engines (Vol. 2),Mary Taylor,978-3-25-7591-2,Literature,true
B0017,Ancient Database,Thomas Miller,978-3-6-6371-0,Business,true
B0018,Quantum Chemistry,Patricia Thomas,978-3-84-3644-3,Engineering,true
B0019,Global Art,Joseph Smith,978-3-34-2489-4,History,true
B0020,Hidden Database,Patricia Moore,978-8-34-4568-3,Fiction,true
B0021,Silent Networks (Vol. 1),Sarah Thompson,978-6-72-5193-7,Computer Science,true
B0022,Silent Chronicles,Barbara Martinez,978-3-84-1627-5,Computer Science,true
B0023,Mastering Networks (Vol. 1),Susan Moore,978-2-87-8520-4,Engineering,true
B0024,Forgotten Whispers,Linda Miller,978-2-0-1809-5,Computer Science,true
B0025,Ancient Dreams (Vol. 1),Michael Brown,978-7-40-3350-6,Chemistry,true
B0026,Beautiful Chemistry (Vol. 1),David Smith,978-0-13-6530-2,Chemistry,true
B0027,Introduction to Future,Linda Wilson,978-3-3-0621-0,Fiction,true
B0028,Practical Chemistry,Charles Jones,978-8-11-9032-7,Fiction,true
B0029,Modern Whispers (Vol. 1),Elizabeth Rodriguez,978-0-23-0005-6,Mathematics,true
B0030,Advanced Networks,Thomas Martin,978-7-1-3508-2,Literature,true
B0031,Ancient Principles,William Williams,978-6-66-4070-6,Chemistry,true
B0032,Lost Universe (Vol. 2),Richard Garcia,978-4-35-6416-3,Mathematics,true
B0033,Designing Patterns (Vol. 3),James Moore,978-0-88-3525-2,Business,true
B0034,Silent Engines (Vol. 1),Richard Taylor,978-1-12-8654-2,Biography,true
B0035,Ancient Journey (Vol. 3),Elizabeth Moore,978-2-54-5849-6,Computer Science,true
B0036,Computational Art,Charles Thomas,978-7-38-3717-7,Computer Science,true
B0037,Introduction to Art (Vol. 1),William Garcia,978-1-11-9292-0,Fiction,true
B0038,Lost Engines (Vol. 1),Joseph Thomas,978-2-70-6124-7,Business,true
B0039,Forgotten Database,James Hernandez,978-5-36-9146-6,Engineering,true
B0040,Advanced Journey (Vol. 1),Charles Smith,978-8-20-3370-4,Physics,true
B0041,Hidden Physics,Karen White,978-3-24-8367-8,Literature,true
B0042,Digital Patterns,Thomas Davis,978-0-90-5562-0,Business,true
B0043,Silent Science (Vol. 1),Linda Davis,978-6-9-2632-3,Chemistry,true
B0044,Forgotten Patterns,Joseph Jones,978-1-81-0089-1,Physics,true
B0045,Advanced Chronicles,Jessica Jones,978-4-74-2062-4,History,true
B0046,Forgotten Art (Vol. 1),Jessica Rodriguez,978-4-20-5382-3,Computer Science,true
B0047,Modern Science (Vol. 1),Joseph Williams,978-4-85-0002-0,Biography,true
B0048,Modern Dreams (Vol. 2),Joseph Martinez,978-6-78-7915-5,Biography,true
B0049,Golden Whispers,Charles Taylor,978-2-22-1969-7,Engineering,true
B0050,Lost Dreams,Susan Rodriguez,978-6-18-2987-6,Mathematics,true
B0051,Ancient Legends,Joseph Williams,978-5-7-7755-8,Computer Science,true
B0052,Mastering Engines,Patricia Davis,978-4-76-3325-8,Fiction,true
B0053,Hidden Patterns,John Wilson,978-7-22-7359-8,Biography,true
B0054,Forgotten Future,John Davis,978-8-95-8489-4,Physics,true
B0055,Designing Algorithms (Vol. 2),William Williams,978-1-22-0809-8,Computer Science,true
B0056,Golden Art,Karen Williams,978-6-89-7219-4,Literature,true
B0057,Global Chemistry,William Garcia,978-4-38-4770-6,Engineering,true
B0058,Practical Whispers,Charles Garcia,978-3-13-1375-1,Literature,true
B0059,Computational Chronicles,James Moore,978-5-14-4559-1,Mathematics,true
B0060,Global Algorithms,William Johnson,978-3-40-3268-1,Mathematics,true
B0061,Forgotten Journey,Barbara Garcia,978-6-29-1219-0,Engineering,true
B0062,Designing Science (Vol. 2),Linda Wilson,978-1-13-2649-0,Business,true
B0063,Introduction to Science (Vol. 1),Robert Anderson,978-1-53-1319-2,Biography,true
B0064,Hidden Legends,William Martin,978-5-60-6859-2,Physics,true
B0065,Global Chronicles (Vol. 2),William Rodriguez,978-5-91-2550-1,Literature,true
B0066,Ultimate Algorithms,Elizabeth Martin,978-8-91-9700-4,Physics,true
B0067,Digital Art,Robert White,978-4-90-2532-4,History,true
B0068,Digital Database (Vol. 2),David Moore,978-0-52-0222-3,Chemistry,true
B0069,Global Physics,Michael Martinez,978-5-32-0858-5,Literature,true
B0070,Lost Chemistry (Vol. 2),Joseph Garcia,978-7-9-8610-3,Physics,true
B0071,Silent Systems (Vol. 1),Mary Brown,978-8-9-1758-1,Biography,true
B0072,Golden Patterns,Mary Thomas,978-8-19-4549-8,Engineering,true
B0073,Dark Art (Vol. 2),Karen Rodriguez,978-1-68-1681-2,Computer Science,true
B0074,Practical Dreams (Vol. 2),James White,978-1-20-8366-8,Mathematics,true
B0075,Dark Dreams,Richard Hernandez,978-6-91-1831-4,History,true
B0076,Computational Chronicles (Vol. 2),Sarah Smith,978-1-3-4351-8,Business,true
B0077,Silent Physics (Vol. 2),Thomas Miller,978-8-44-1740-1,Literature,true
B0078,Advanced Systems (Vol. 2),Charles Johnson,978-1-76-1072-0,Mathematics,true
B0079,Global Future,Barbara Miller,978-2-62-3025-6,Computer Science,true
B0080,Ultimate History,Patricia Garcia,978-8-68-2419-6,Biography,true
B0081,Forgotten Science (Vol. 2),Thomas Thompson,978-6-86-4614-5,Business,true
B0082,Hidden Algorithms (Vol. 2),Richard Rodriguez,978-3-63-8406-3,Computer Science,true
B0083,Quantum Principles,John Williams,978-1-86-4271-5,History,true
B0084,Practical Secrets,Jessica Moore,978-3-24-6989-1,Physics,true
B0085,Lost Legends (Vol. 1),Jessica Jackson,978-2-4-3780-6,Business,true
B0086,Hidden Universe,William Smith,978-3-14-0966-2,Physics,true
B0087,Ancient History (Vol. 3),James Taylor,978-4-18-0818-3,Fiction,true
B0088,Golden Engines,Barbara Jones,978-0-71-1488-0,Business,true
B0089,Silent Algorithms (Vol. 1),Charles Johnson,978-6-92-0529-8,Literature,true
B0090,Mastering Algorithms (Vol. 2),Joseph Smith,978-3-9-2637-6,Engineering,true
B0091,Global Patterns,Jennifer Miller,978-6-56-2949-7,History,true
B0092,Quantum Whispers (Vol. 1),Patricia Jones,978-1-19-1912-5,Computer Science,true
B0093,Beautiful Whispers (Vol. 2),James Hernandez,978-2-29-3200-2,Chemistry,true
B0094,Mastering Dreams,Patricia Miller,978-7-71-0918-6,Physics,true
B0095,Hidden Science,Charles Jones,978-4-82-5471-0,Mathematics,true
B0096,Designing Systems (Vol. 2),Elizabeth Williams,978-4-74-3239-1,Business,true
B0097,Global Whispers,Jessica Wilson,978-2-9-2565-5,Biography,true
B0098,Forgotten Secrets,Richard Martin,978-5-80-7275-1,Business,true
B0099,Silent Dreams,Thomas Martinez,978-8-85-6064-4,Chemistry,true
B0100,Introduction to Universe,Patricia Jackson,978-1-49-2384-8,Chemistry,true
B0101,Golden Legends,Jessica Smith,978-2-77-7482-7,Engineering,true
B0102,Digital Secrets (Vol. 2),Barbara Smith,978-0-27-1648-7,Chemistry,true
B0103,Quantum Patterns (Vol. 2),Charles Martinez,978-3-4-2715-3,Computer Science,true
B0104,Dark Art,Richard White,978-4-72-9177-6,Biography,true
B0105,Mastering Journey,Robert Taylor,978-1-55-2247-7,Fiction,true
B0106,Digital Networks,Thomas White,978-6-74-4014-5,Computer Science,true
B0107,Global Science,Barbara Hernandez,978-7-44-3359-8,History,true
B0108,Silent Algorithms (Vol. 2),Linda Miller,978-5-85-7122-2,Mathematics,true
B0109,Forgotten Networks (Vol. 1),Charles Thomas,978-3-34-0579-3,History,true
B0110,Ancient Chronicles,Sarah Thompson,978-4-38-8047-6,Engineering,true
B0111,Lost Journey,David Martinez,978-8-95-6887-6,Computer Science,true
B0112,Ancient Engines,James Hernandez,978-7-15-3819-6,Engineering,true
B0113,Silent Physics (Vol. 3),David Martinez,978-7-32-5249-6,Fiction,true
B0114,Golden Dreams (Vol. 1),Joseph Brown,978-8-88-1110-4,Computer Science,true
B0115,Silent Physics,Thomas Thomas,978-6-16-7348-1,Biography,true
B0116,Computational Engines,Jennifer Jackson,978-5-69-9337-6,Fiction,true
B0117,Ultimate Secrets (Vol. 1),Patricia Anderson,978-3-98-0194-6,Business,true
B0118,Beautiful Universe,Mary Garcia,978-0-24-9714-0,Fiction,true
B0119,Computational Science,William Martinez,978-5-42-0898-7,Computer Science,true
B0120,Lost Chemistry,David Jackson,978-5-83-3053-6,History,true
B0121,Silent Universe (Vol. 2),Jessica Miller,978-6-15-6922-8,Biography,true
B0122,Ultimate Dreams (Vol. 3),Charles Taylor,978-2-16-9644-3,Mathematics,true
B0123,Forgotten Engines,James Miller,978-7-41-3374-0,Fiction,true
B0124,Lost Chronicles,Robert Thomas,978-7-89-3295-3,Engineering,true
B0125,Ultimate Legends (Vol. 1),Mary Thompson,978-0-77-2353-5,Literature,true
B0126,Ancient Legends (Vol. 1),James Thompson,978-0-2-4225-6,Literature,true
B0127,Ancient Journey (Vol. 1),Robert Taylor,978-5-10-8736-6,Computer Science,true
B0128,Forgotten Systems,John Miller,978-3-22-9739-8,Chemistry,true
B0129,Beautiful Patterns (Vol. 3),Mary Thomas,978-0-7-8799-7,Biography,true
B0130,Ultimate Science,Michael Thompson,978-1-10-1383-2,Literature,true
B0131,Silent Chemistry (Vol. 2),Charles Johnson,978-6-26-4294-0,Biography,true
B0132,Ultimate Physics (Vol. 2),Susan Jones,978-7-85-3922-7,Business,true
B0133,Computational Universe,Richard Anderson,978-8-79-6082-1,Engineering,true
B0134,Advanced Science (Vol. 2),Mary Hernandez,978-7-28-9178-0,History,true
B0135,Practical Dreams,Susan Smith,978-1-39-2244-5,Biography,true
B0136,Ultimate Principles (Vol. 2),Thomas Jones,978-4-23-5413-1,Engineering,true
B0137,Designing Physics (Vol. 1),Mary Davis,978-2-1-6559-2,Mathematics,true
B0138,Hidden Algorithms (Vol. 3),Barbara Thompson,978-2-76-5658-7,Mathematics,true
B0139,Digital Chronicles (Vol. 1),Linda Martin,978-8-13-8034-2,Literature,true
B0140,Digital History (Vol. 3),Sarah Thomas,978-1-46-9279-0,Physics,true
B0141,Forgotten Principles,Susan Johnson,978-6-69-8680-5,Business,true
B0142,Beautiful Dreams,Sarah Davis,978-5-87-5538-7,Chemistry,true
B0143,Computational Chemistry,Charles Jones,978-4-2-7845-0,Computer Science,true
B0144,Dark Chemistry,William Brown,978-7-44-5872-6,Engineering,true
B0145,Dark Chronicles (Vol. 1),Charles Martin,978-2-4-3901-0,History,true
B0146,Practical Universe,Mary Miller,978-6-46-0364-1,Physics,true
B0147,Lost Future,James Miller,978-6-50-4859-7,Mathematics,true
B0148,Quantum Engines,Robert Wilson,978-2-5-3986-5,Business,true
B0149,Mastering Algorithms,Robert Miller,978-7-86-5480-8,Fiction,true
B0150,Ultimate Database,Robert Thompson,978-5-52-7387-7,History,true
B0151,Lost History (Vol. 2),Susan Williams,978-1-19-0123-2,Computer Science,true
B0152,Quantum Secrets,Barbara Miller,978-5-82-2422-2,Mathematics,true
B0153,Forgotten Dreams,Susan White,978-2-0-8361-8,Engineering,true
B0154,Introduction to Dreams (Vol. 3),Michael Brown,978-6-70-1710-6,Chemistry,true
B0155,Practical Legends,Richard Jackson,978-3-19-0199-6,Business,true
B0156,Hidden Networks (Vol. 2),Karen Johnson,978-3-84-7480-2,Physics,true
B0157,Silent Legends,Richard Wilson,978-1-81-1398-1,Literature,true
B0158,Mastering Legends,Karen Davis,978-3-3-9812-4,Biography,true
B0159,Beautiful Physics (Vol. 3),James Johnson,978-6-52-0071-6,Physics,true
B0160,Forgotten Algorithms,Patricia Martin,978-7-44-4183-8,Engineering,true
B0161,Golden Chemistry,James Davis,978-4-34-5205-2,Mathematics,true
B0162,Advanced Engines,Richard White,978-6-10-9294-8,Business,true
B0163,Designing Dreams,Sarah Taylor,978-2-56-9566-3,Physics,true
B0164,Ultimate Science (Vol. 2),John Jones,978-3-56-8221-3,History,true
B0165,Quantum Database,William Williams,978-2-84-3159-6,Biography,true
B0166,Lost Database,Michael Davis,978-8-70-7029-4,Physics,true
B0167,Introduction to Science,Linda Thomas,978-6-80-7302-1,Business,true
B0168,Advanced History (Vol. 3),Charles Davis,978-2-29-3619-5,History,true
B0169,Ultimate Journey,Robert Jackson,978-6-2-1386-1,Chemistry,true
B0170,Advanced Whispers (Vol. 3),James Thompson,978-0-94-7537-2,Chemistry,true
B0171,Modern Chronicles,Elizabeth Hernandez,978-2-90-4314-8,Physics,true
B0172,Computational Patterns,William Garcia,978-1-55-5186-0,Business,true
B0173,Forgotten Legends,Charles Miller,978-8-97-3334-8,Chemistry,true
B0174,Forgotten Physics,Richard Moore,978-8-1-1337-6,Fiction,true
B0175,Introduction to Database (Vol. 2),Jessica Thompson,978-4-67-8623-3,Literature,true
B0176,Advanced Systems,Jessica Martin,978-3-78-1291-6,Physics,true
B0177,Golden Chronicles (Vol. 1),Susan Brown,978-6-60-6917-4,Physics,true
B0178,Hidden Journey,Thomas Thomas,978-4-21-2887-3,Fiction,true
B0179,Global Principles (Vol. 3),John Brown,978-3-67-0037-4,Mathematics,true
B0180,Dark Secrets,Joseph White,978-6-2-8736-0,Engineering,true
B0181,Practical Networks,Jessica Rodriguez,978-4-81-1848-8,Chemistry,true
B0182,Forgotten Systems (Vol. 3),Charles Johnson,978-0-93-9890-0,Fiction,true
B0183,Practical Systems (Vol. 3),Charles Jones,978-5-20-7580-8,History,true
B0184,Golden Algorithms,Patricia Taylor,978-6-15-7264-7,Computer Science,true
B0185,Hidden Whispers,Jennifer Martin,978-0-57-2618-2,Biography,true
B0186,Advanced Patterns,Mary Taylor,978-0-25-8495-5,Chemistry,true
B0187,Dark History,John Garcia,978-1-1-6598-4,Business,true
B0188,Digital Algorithms,Sarah Williams,978-3-93-5707-3,Biography,true
B0189,Modern Networks,Sarah Jackson,978-5-79-8741-2,History,true
B0190,Modern Patterns (Vol. 2),Susan Davis,978-8-22-1708-7,Physics,true
B0191,Silent History (Vol. 1),Elizabeth Thompson,978-1-53-7162-8,Mathematics,true
B0192,Hidden Physics (Vol. 3),Joseph Taylor,978-3-14-8226-8,Mathematics,true
B0193,Computational Physics,Patricia Smith,978-6-86-7362-7,Literature,true
B0194,Practical Art (Vol. 1),Robert Moore,978-8-48-1340-4,Engineering,true
B0195,Global Principles,Joseph Miller,978-5-85-1109-4,Chemistry,true
B0196,Designing Systems (Vol. 3),Barbara Taylor,978-6-8-5473-7,Engineering,true
B0197,Golden Secrets,James Rodriguez,978-2-14-2553-4,History,true
B0198,Lost Patterns,Susan Thompson,978-1-69-5739-2,Fiction,true
B0199,Lost Physics (Vol. 2),James White,978-4-57-4977-4,Literature,true
B0200,Mastering Art,Jennifer Williams,978-5-40-9721-5,Physics,true
B0201,Modern Journey,Jennifer Thompson,978-3-30-7038-7,Fiction,true
B0202,Digital Systems,John Anderson,978-4-35-6245-0,Mathematics,true
B0203,Golden Science (Vol. 2),Karen Martin,978-7-98-1205-0,Mathematics,true
B0204,Introduction to Secrets,Richard Thomas,978-5-29-2305-3,Chemistry,true
B0205,Golden Chronicles,Thomas Wilson,978-4-4-7462-1,Engineering,true
B0206,Quantum Chronicles,Robert Taylor,978-5-12-1516-3,Physics,true
B0207,Advanced Journey (Vol. 3),John Martin,978-8-31-8282-8,Engineering,true
B0208,Mastering Networks,Michael Martin,978-3-86-2066-2,History,true
B0209,Golden Journey,Karen Moore,978-8-82-2451-6,Biography,true
B0210,Designing Future,Elizabeth White,978-5-36-4770-5,Literature,true
B0211,Hidden Future (Vol. 2),Mary Hernandez,978-0-91-7662-4,Physics,true
B0212,Hidden Secrets,Barbara Davis,978-1-20-8516-5,Literature,true
B0213,Golden Journey (Vol. 1),Michael Thomas,978-5-64-7416-1,Mathematics,true
B0214,Modern Secrets,Mary Moore,978-4-13-1498-4,Fiction,true
B0215,Hidden Systems (Vol. 3),John Anderson,978-4-23-1764-8,Biography,true
B0216,Golden Physics (Vol. 3),Michael Martin,978-5-78-4121-8,Literature,true
B0217,Modern Future,Elizabeth Jackson,978-4-0-9502-1,Business,true
B0218,Mastering Future,Patricia Miller,978-2-19-9139-4,History,true
B0219,Digital Database,Jennifer Williams,978-5-47-2217-4,Physics,true
B0220,Digital Networks (Vol. 1),Charles Davis,978-3-11-5925-1,Literature,true
B0221,Lost Secrets,William White,978-0-4-8464-2,Physics,true
B0222,Beautiful Legends,Jessica White,978-3-76-5104-4,Physics,true
B0223,Digital Chemistry,John Smith,978-1-74-3929-5,Chemistry,true
B0224,Lost Universe,David Johnson,978-5-11-3758-4,Engineering,true
B0225,Hidden Principles (Vol. 2),William Williams,978-0-6-5298-6,Biography,true
B0226,Ultimate Chemistry,Richard White,978-2-5-4075-3,Computer Science,true
B0227,Mastering Networks (Vol. 2),David Wilson,978-6-43-1327-8,Engineering,true
B0228,Beautiful Universe (Vol. 2),James Jackson,978-2-47-1818-8,Engineering,true
B0229,Beautiful Principles,Susan Martinez,978-2-65-0683-8,Engineering,true
B0230,Ancient Secrets (Vol. 1),Michael Anderson,978-8-81-6109-0,History,true
B0231,Lost Principles,James Miller,978-5-70-8948-1,Business,true
B0232,Ancient Principles (Vol. 1),James Williams,978-2-50-5742-7,Mathematics,true
B0233,Practical Database,Sarah Miller,978-8-77-2808-6,Computer Science,true
B0234,Golden History,Karen Anderson,978-3-17-7577-4,Mathematics,true
B0235,Global Future (Vol. 1),Charles Jackson,978-1-74-3722-0,Fiction,true
B0236,Practical Engines (Vol. 3),Jessica White,978-5-69-7716-4,Physics,true
B0237,Lost Systems (Vol. 1),Mary Hernandez,978-8-98-4483-0,Biography,true
B0238,Hidden Journey (Vol. 1),Robert Anderson,978-4-57-3025-7,Computer Science,true
B0239,Designing Whispers (Vol. 3),Thomas Smith,978-5-63-5336-4,History,true
B0240,Introduction to Legends,Joseph Jackson,978-4-68-1539-6,Business,true
B0241,Computational Journey,Jessica Martinez,978-8-26-4011-7,Computer Science,true
B0242,Mastering Database (Vol. 2),Mary Martin,978-7-73-3617-8,Mathematics,true
B0243,Hidden Secrets (Vol. 3),Joseph Wilson,978-7-81-0498-4,Engineering,true
B0244,Quantum Universe (Vol. 2),Linda Thomas,978-1-60-1042-2,Chemistry,true
B0245,Digital Principles,Linda Williams,978-7-40-6457-0,History,true
B0246,Beautiful Universe (Vol. 1),Richard Smith,978-6-34-2430-3,Literature,true
B0247,Ultimate Art,Karen Anderson,978-7-87-6904-4,History,true
B0248,Advanced Physics (Vol. 2),Joseph Rodriguez,978-8-4-6740-2,Biography,true
B0249,Practical Legends (Vol. 1),Michael Miller,978-2-38-9135-4,Physics,true
B0250,Forgotten Science,Charles Jackson,978-6-48-8637-8,Mathematics,true
B0251,Hidden Engines,Jessica Garcia,978-2-56-9124-8,Biography,true
B0252,Advanced Dreams,Joseph Moore,978-7-98-4427-5,Biography,true
B0253,Introduction to Physics,Michael Smith,978-3-4-0859-3,Fiction,true
B0254,Lost Algorithms (Vol. 2),Jennifer Jones,978-6-2-0917-7,Biography,true
B0255,Dark Principles,John Johnson,978-3-22-6688-7,Chemistry,true
B0256,Lost Secrets (Vol. 1),John Hernandez,978-0-68-9628-1,Literature,true
B0257,Modern Engines,Thomas Davis,978-1-56-1276-8,Business,true
B0258,Designing Universe,John Hernandez,978-3-84-4210-3,Biography,true
B0259,Lost Journey (Vol. 2),Michael Jackson,978-5-73-0131-3,Business,true
B0260,Global Journey (Vol. 1),Barbara Brown,978-4-23-5656-3,Business,true
B0261,Designing Physics (Vol. 3),Susan Taylor,978-0-96-6020-6,Chemistry,true
B0262,Beautiful Algorithms,Charles Thomas,978-4-8-7412-3,Biography,true
B0263,Ancient Engines (Vol. 3),Thomas Miller,978-8-17-6233-4,Chemistry,true
B0264,Lost Patterns (Vol. 1),Barbara Brown,978-1-63-4337-0,Engineering,true
B0265,Forgotten Art (Vol. 2),Jennifer Davis,978-5-37-6712-7,Computer Science,true
B0266,Designing Legends,Jessica Miller,978-4-56-1609-0,Fiction,true
B0267,Practical Chronicles (Vol. 2),David Davis,978-1-60-0491-7,History,true
B0268,Lost Science (Vol. 1),Thomas Moore,978-5-44-7976-4,Mathematics,true
B0269,Silent Science (Vol. 2),Michael Williams,978-5-40-8089-2,Physics,true
B0270,Hidden Principles,Charles Johnson,978-3-22-3083-5,Fiction,true
B0271,Mastering Patterns,Barbara Martin,978-6-59-6994-0,Business,true
B0272,Advanced Journey,Barbara Jones,978-8-13-7356-3,Computer Science,true
B0273,Modern Networks (Vol. 2),James Jones,978-1-68-6989-5,Mathematics,true
B0274,Introduction to Patterns (Vol. 3),Joseph Wilson,978-8-31-9230-0,Business,true
B0275,Hidden Dreams,Patricia Brown,978-4-54-4585-7,Chemistry,true
B0276,Quantum Legends,Linda Garcia,978-1-7-0004-4,Engineering,true
B0277,Golden Engines (Vol. 2),Jessica Martin,978-7-7-4877-6,Computer Science,true
B0278,Advanced Universe,Jennifer Brown,978-5-82-9364-8,Biography,true
B0279,Designing Algorithms,Jennifer Anderson,978-5-62-6004-1,Physics,true
B0280,Ultimate Whispers,Elizabeth Williams,978-1-19-8922-8,Mathematics,true
B0281,Quantum Universe,John Miller,978-1-34-8634-0,Literature,true
B0282,Practical Science,Sarah Williams,978-7-35-0543-2,Physics,true
B0283,Dark History (Vol. 3),William Wilson,978-6-89-6968-4,Mathematics,true
