id,title,author,isbn,category,available
B0284,Introduction to Systems,Richard Wilson,978-2-89-7950-7,Mathematics,true
B0285,Practical Science (Vol. 2),Patricia Martin,978-5-44-8045-7,Business,true
B0286,Silent Whispers,Thomas Jackson,978-0-60-9237-4,Fiction,true
B0287,Ancient Universe,David Davis,978-4-71-8365-4,Chemistry,true
B0288,Quantum History (Vol. 3),Elizabeth Smith,978-4-43-5358-3,Fiction,true
B0289,Quantum Dreams (Vol. 1),Robert Martinez,978-6-83-1548-7,Mathematics,true
B0290,Silent Networks (Vol. 2),Linda Wilson,978-4-26-5359-8,Biography,true
B0291,Digital Chronicles (Vol. 2),John Rodriguez,978-2-55-4094-4,Business,true
B0292,Forgotten Universe (Vol. 3),Susan Hernandez,978-3-24-9491-8,Biography,true
B0293,Introduction to Dreams,Karen Thomas,978-0-51-9384-2,History,true
B0294,Mastering Science,Thomas Brown,978-1-41-6776-6,Fiction,true
B0295,Dark Future (Vol. 2),Linda Rodriguez,978-1-53-8629-3,Literature,true
B0296,Silent Systems,Elizabeth Jackson,978-6-72-6778-7,Physics,true
B0297,Introduction to History (Vol. 1),Mary Martinez,978-1-55-4112-1,Chemistry,true
B0298,Quantum Systems,William Hernandez,978-8-3-2987-4,Mathematics,true
B0299,Lost Systems,Richard Garcia,978-3-33-4066-6,Computer Science,true
B0300,Computational Systems,Mary Martinez,978-3-53-9535-3,Business,true
B0301,Modern Chemistry,James Johnson,978-3-18-0020-7,Fiction,true
B0302,Global Engines (Vol. 2),Sarah Hernandez,978-3-34-6503-2,Engineering,true
B0303,Quantum Chemistry (Vol. 1),David Thomas,978-8-77-0385-6,History,true
B0304,Computational Journey (Vol. 2),Jennifer Davis,978-5-43-9777-7,Mathematics,true
B0305,Ultimate Patterns (Vol. 2),Jennifer Thomas,978-1-62-1388-5,Physics,true
B0306,Ancient Secrets,Joseph Garcia,978-5-24-8685-7,Physics,true
B0307,Practical Principles (Vol. 2),Linda Thompson,978-6-91-6673-3,Literature,true
B0308,Ancient Dreams (Vol. 2),Susan Williams,978-2-13-1155-2,Mathematics,true
B0309,Designing Engines,Linda Moore,978-3-40-3920-5,History,true
B0310,Quantum History (Vol. 2),Patricia Wilson,978-5-37-7905-1,Engineering,true
B0311,Lost History,Mary Jones,978-7-43-2502-2,History,true
B0312,Silent Engines,John White,978-2-90-9519-0,Chemistry,true
B0313,Lost Whispers,Elizabeth Garcia,978-4-46-2248-0,Fiction,true
B0314,Ultimate Chronicles,Jennifer Johnson,978-2-36-2871-3,Business,true
B0315,Introduction to Art,Richard Brown,978-8-81-8576-7,Fiction,true
B0316,Dark Legends (Vol. 2),Jennifer Smith,978-3-39-2674-7,Engineering,true
B0317,Digital Secrets (Vol. 3),Thomas Johnson,978-2-25-5826-1,Biography,true
B0318,Ancient Algorithms,Joseph Moore,978-6-0-9071-6,Literature,true
B0319,Ultimate Future,David Martinez,978-8-69-4806-2,Physics,true
B0320,Global Networks (Vol. 2),Charles Thomas,978-2-26-3875-3,Engineering,true
B0321,Ancient Whispers (Vol. 3),Patricia White,978-7-83-9650-5,Engineering,true
B0322,Beautiful Algorithms (Vol. 2),Richard White,978-0-82-4698-5,Chemistry,true
B0323,Golden Physics,Sarah Jackson,978-3-30-1762-5,Fiction,true
B0324,Lost Principles (Vol. 3),Joseph Taylor,978-6-10-1500-6,History,true
B0325,Ultimate Journey (Vol. 3),Mary Thompson,978-3-2-2937-4,Engineering,true
B0326,Forgotten Chronicles,Thomas Rodriguez,978-6-65-2141-0,Computer Science,true
B0327,Digital Database (Vol. 3),Charles Davis,978-8-92-6688-7,History,true
B0328,Advanced Database,Susan Williams,978-0-15-5710-2,Computer Science,true
B0329,Golden Science,Michael Jones,978-7-30-1012-4,Computer Science,true
B0330,Lost Legends,William Brown,978-7-89-5396-1,Engineering,true
B0331,Mastering Systems (Vol. 3),Thomas Anderson,978-4-23-0109-6,Business,true
B0332,Ultimate Networks (Vol. 2),Patricia Williams,978-1-64-5545-0,Fiction,true
B0333,Quantum Secrets (Vol. 3),Charles Hernandez,978-8-20-4222-0,Physics,true
B0334,Ultimate Dreams,Jennifer Brown,978-7-1-6481-2,Fiction,true
B0335,Ultimate Universe,Patricia Brown,978-0-53-7957-7,Literature,true
B0336,Introduction to Universe (Vol. 1),Robert Miller,978-2-35-7089-6,Physics,true
B0337,Beautiful Engines,John Jones,978-0-58-9748-1,Computer Science,true
B0338,Mastering Physics,William Hernandez,978-4-18-5915-5,Literature,true
B0339,Beautiful Networks (Vol. 1),Charles Rodriguez,978-4-88-7233-6,Fiction,true
B0340,Quantum Secrets (Vol. 1),Barbara Johnson,978-7-55-1758-1,Business,true
B0341,Advanced Chronicles (Vol. 2),Richard Taylor,978-5-28-8977-4,Literature,true
B0342,Forgotten Chemistry (Vol. 1),Jessica Hernandez,978-2-3-1251-8,History,true
B0343,Designing Principles (Vol. 1),Mary Garcia,978-8-81-5442-8,Engineering,true
B0344,Ancient Systems,Jessica Brown,978-6-47-4516-7,Computer Science,true
B0345,Beautiful Art,Patricia Johnson,978-3-9-9985-3,Chemistry,true
B0346,Practical Patterns,Thomas Jackson,978-3-25-9539-1,Business,true
B0347,Computational Future (Vol. 1),Jessica Hernandez,978-3-1-0696-5,History,true
B0348,Hidden Chronicles,Patricia White,978-0-5-4041-4,Engineering,true
B0349,Introduction to Journey (Vol. 3),Robert Jackson,978-3-13-3172-3,History,true
B0350,Designing Chemistry,Elizabeth Miller,978-7-51-9433-4,Computer Science,true
B0351,Designing Journey,Jennifer Anderson,978-6-11-5470-1,Business,true
B0352,Global Chronicles (Vol. 1),Thomas Hernandez,978-5-61-3908-1,Fiction,true
B0353,Dark Science (Vol. 1),Jessica Davis,978-6-50-2438-1,History,true
B0354,Forgotten Future (Vol. 2),Joseph Wilson,978-6-39-5444-1,Engineering,true
B0355,Introduction to Networks (Vol. 3),James Davis,978-3-35-4420-7,Chemistry,true
B0356,Quantum Whispers (Vol. 2),Jennifer Taylor,978-8-66-2321-8,Literature,true
B0357,Mastering Whispers,James Taylor,978-5-38-4904-6,Literature,true
B0358,Quantum Patterns (Vol. 3),Thomas Thompson,978-3-4-4593-8,Mathematics,true
B0359,Digital Universe (Vol. 3),Elizabeth Martin,978-8-41-9473-7,Chemistry,true
B0360,Quantum Systems (Vol. 3),William Thompson,978-6-1-9110-6,Physics,true
B0361,Beautiful Patterns,Thomas Jackson,978-0-28-2682-5,Business,true
B0362,Silent Dreams (Vol. 3),Thomas Hernandez,978-7-69-5517-8,Physics,true
B0363,Beautiful Chronicles,Jennifer Martinez,978-0-64-9519-8,Business,true
B0364,Forgotten Secrets (Vol. 3),Patricia Johnson,978-2-54-8521-3,Business,true
B0365,Global Chronicles,Thomas Anderson,978-1-34-8984-0,Engineering,true
B0366,Quantum Art (Vol. 1),Sarah Rodriguez,978-8-82-3505-4,Physics,true
B0367,Silent Chemistry (Vol. 1),Patricia Martin,978-2-31-5458-5,Biography,true
B0368,Mastering Art (Vol. 3),William Davis,978-7-4-2415-4,Chemistry,true
B0369,Ultimate Legends,Jessica Jones,978-5-45-5593-3,Mathematics,true
B0370,Beautiful Principles (Vol. 2),Jennifer Hernandez,978-5-18-8844-8,Engineering,true
B0371,Ancient Systems (Vol. 3),James Wilson,978-0-49-9463-4,History,true
B0372,Advanced Patterns (Vol. 3),Jennifer Martin,978-3-7-8880-2,Fiction,true
B0373,Modern Secrets (Vol. 1),Jessica Thompson,978-4-95-6387-2,Mathematics,true
B0374,Practical Physics (Vol. 3),Linda Martin,978-3-97-0723-1,Fiction,true
B0375,Digital History,Jessica Moore,978-3-64-1685-0,Physics,true
B0376,Quantum Chemistry (Vol. 2),Karen Williams,978-3-80-2142-7,Business,true
B0377,Practical Systems,David White,978-4-43-8658-4,Business,true
B0378,Ancient Algorithms (Vol. 3),Charles Miller,978-4-77-8866-1,Chemistry,true
B0379,Hidden Database (Vol. 3),Joseph Thomas,978-2-95-6821-4,History,true
B0380,Designing History (Vol. 3),James Miller,978-8-44-7383-1,Computer Science,true
B0381,Lost Science,William Moore,978-6-32-9342-0,Engineering,true
B0382,Beautiful Art (Vol. 3),Robert Miller,978-6-93-1683-2,Literature,true
B0383,Quantum Journey,Joseph Jackson,978-1-36-5259-2,History,true
B0384,Mastering Secrets,Patricia Jackson,978-5-29-4748-3,Business,true
B0385,Lost Legends (Vol. 2),Jessica Thomas,978-2-9-3123-1,Physics,true
B0386,Quantum Principles (Vol. 3),Robert Anderson,978-5-86-2822-2,Biography,true
B0387,Modern Algorithms (Vol. 3),Karen Moore,978-2-25-6582-7,Engineering,true
B0388,Modern Networks (Vol. 1),Elizabeth Garcia,978-5-35-0676-7,Physics,true
B0389,Beautiful Journey,Mary Wilson,978-1-46-3248-7,Chemistry,true
B0390,Beautiful History (Vol. 1),Barbara Brown,978-2-61-3006-5,Biography,true
B0391,Computational Principles (Vol. 1),James Miller,978-4-32-9346-3,History,true
B0392,Digital Whispers (Vol. 3),Barbara Smith,978-3-8-6773-3,Biography,true
B0393,Forgotten History,Jessica Smith,978-7-34-5174-1,Chemistry,true
B0394,Designing Physics,John Williams,978-0-29-8277-4,Fiction,true
B0395,Ancient Dreams,Karen Jones,978-3-24-7465-7,Biography,true
B0396,Golden Principles,Elizabeth Jones,978-1-53-7573-3,Biography,true
B0397,Quantum Science,John Thomas,978-8-65-0144-5,Computer Science,true
B0398,Practical Database (Vol. 2),Jessica Anderson,978-7-1-6055-1,Engineering,true
B0399,Golden Database (Vol. 1),Richard Wilson,978-6-54-4044-4,Literature,true
B0400,Hidden Art,Jessica Williams,978-6-15-0172-5,Fiction,true
B0401,Digital Dreams (Vol. 1),Michael Moore,978-7-51-5394-0,Chemistry,true
B0402,Forgotten Art,Jennifer Garcia,978-6-89-3559-6,Biography,true
B0403,Digital Chronicles,James Jackson,978-3-90-3811-1,Biography,true
B0404,Lost Future (Vol. 2),Karen Garcia,978-4-79-5141-8,Chemistry,true
B0405,Golden Dreams,Elizabeth Moore,978-4-10-7084-2,Biography,true
B0406,Mastering History (Vol. 1),David Anderson,978-7-9-4600-6,Physics,true
B0407,Designing Patterns,Charles Thompson,978-3-75-1093-3,Fiction,true
B0408,Designing Secrets,Robert Wilson,978-3-43-3526-4,Engineering,true
B0409,Designing Database,Jessica Hernandez,978-5-19-4727-5,Literature,true
B0410,Silent Art (Vol. 3),Sarah Jones,978-8-24-4221-6,Physics,true
B0411,Lost Art,Susan Rodriguez,978-6-94-4936-8,Business,true
B0412,Digital Patterns (Vol. 2),Richard White,978-4-45-4980-1,Physics,true
B0413,Global Networks,Robert Davis,978-3-5-0727-7,Business,true
B0414,Dark Systems (Vol. 3),Patricia Thompson,978-2-0-6097-6,Literature,true
B0415,Quantum History,Thomas Martinez,978-5-43-6968-4,Chemistry,true
B0416,Advanced Physics (Vol. 3),Joseph Anderson,978-4-39-8084-5,Literature,true
B0417,Hidden Future,Mary Taylor,978-6-68-9482-8,Computer Science,true
B0418,Dark Legends,Charles Anderson,978-1-29-2154-4,Biography,true
B0419,Forgotten Chronicles (Vol. 3),John Wilson,978-1-8-4729-2,Business,true
B0420,Global Dreams,Barbara Miller,978-5-51-8258-1,Fiction,true
B0421,Global Legends,Susan Martinez,978-3-10-9737-5,Business,true
B0422,Hidden Algorithms,Sarah Wilson,978-2-0-8190-3,Literature,true
B0423,Ultimate Art (Vol. 3),Elizabeth Jackson,978-5-79-7540-5,Business,true
B0424,Practical Algorithms,Mary Anderson,978-2-19-2648-8,Physics,true
B0425,Advanced Science,Karen Wilson,978-7-84-8635-7,Engineering,true
B0426,Forgotten Engines (Vol. 1),Michael Hernandez,978-7-61-1435-3,Mathematics,true
B0427,Ultimate Database (Vol. 1),Patricia Jones,978-3-31-8111-4,Computer Science,true
B0428,Silent Chemistry,John Thomas,978-1-93-3884-5,Fiction,true
B0429,Modern Journey (Vol. 3),Susan Davis,978-2-50-8167-6,Business,true
B0430,Ancient History (Vol. 2),Joseph Jones,978-8-65-9939-4,Computer Science,true
B0431,Forgotten Database (Vol. 2),Joseph Johnson,978-4-8-6153-1,Biography,true
B0432,Designing Future (Vol. 1),Michael White,978-3-61-3659-1,Physics,true
B0433,Advanced Algorithms (Vol. 3),Charles Moore,978-1-14-8260-5,Engineering,true
B0434,Practical Universe (Vol. 1),Barbara Johnson,978-7-80-9467-0,Physics,true
B0435,Global Systems,Robert Davis,978-7-93-4324-0,Business,true
B0436,Introduction to Principles,Linda Thomas,978-5-64-1532-7,Chemistry,true
B0437,Dark Systems (Vol. 2),Linda Johnson,978-6-25-8232-6,Computer Science,true
B0438,Ancient Physics,Thomas Jones,978-0-3-1280-1,Computer Science,true
B0439,Practical Whispers (Vol. 3),Patricia Jackson,978-6-18-6571-6,History,true
B0440,Digital Principles (Vol. 2),Patricia Miller,978-1-30-6419-0,Business,true
B0441,Modern Systems (Vol. 1),Mary Thomas,978-3-52-9562-6,Fiction,true
B0442,Designing History,Mary Miller,978-5-81-4799-5,Chemistry,true
B0443,Dark Universe,William Rodriguez,978-6-0-8800-3,History,true
B0444,Introduction to Physics (Vol. 1),Joseph Thompson,978-5-17-2689-6,Computer Science,true
B0445,Modern Networks (Vol. 3),Karen Thompson,978-4-19-1948-6,Mathematics,true
B0446,Ultimate Networks,Susan Jones,978-1-31-2859-1,Chemistry,true
B0447,Ultimate Chemistry (Vol. 3),Jessica Williams,978-4-69-6624-2,Literature,true
B0448,Golden Networks,Jessica Brown,978-8-20-8915-6,Fiction,true
B0449,Introduction to Database,Michael Williams,978-2-73-3760-5,Chemistry,true
B0450,Digital Dreams,Karen Williams,978-2-10-5908-3,Biography,true
B0451,Designing Art (Vol. 1),Richard Taylor,978-4-26-3375-0,Physics,true
B0452,Lost Science (Vol. 2),Robert Martinez,978-0-35-4657-6,Business,true
B0453,Computational Secrets,Michael Johnson,978-6-0-2993-4,Business,true
B0454,Computational Networks,Charles Martin,978-3-74-9958-7,Business,true
B0455,Beautiful Future (Vol. 3),Robert Taylor,978-8-64-7713-1,Chemistry,true
B0456,Ultimate Journey (Vol. 1),David Johnson,978-2-58-6109-7,Biography,true
B0457,Beautiful History,Michael Taylor,978-4-67-5248-7,Literature,true
B0458,Lost Algorithms (Vol. 1),Patricia Hernandez,978-3-12-9492-5,History,true
B0459,Modern Science,Sarah Davis,978-8-77-9032-3,Engineering,true
B0460,Global Journey,Thomas Jackson,978-3-8-5017-8,Mathematics,true
B0461,Practical Principles,Michael Martinez,978-4-59-2914-5,Computer Science,true
B0462,Ultimate Principles,Thomas Williams,978-4-11-5413-7,Fiction,true
B0463,Advanced Legends,Michael Martinez,978-1-23-2985-7,Chemistry,true
B0464,Introduction to Patterns (Vol. 1),Susan Moore,978-6-21-5546-0,Computer Science,true
B0465,Modern Science (Vol. 2),Joseph Wilson,978-6-55-0173-5,Fiction,true
B0466,Golden History (Vol. 2),Elizabeth White,978-0-87-3973-0,History,true
B0467,Quantum Dreams,Elizabeth Hernandez,978-5-52-2962-2,Fiction,true
B0468,Mastering Engines (Vol. 3),Charles Smith,978-1-46-7834-0,Engineering,true
B0469,Hidden Chemistry,Barbara Williams,978-6-22-9931-1,Physics,true
B0470,Forgotten History (Vol. 2),William Jones,978-2-43-4013-0,History,true
B0471,Advanced Physics,William Hernandez,978-2-58-4002-1,Mathematics,true
B0472,Dark Algorithms,William Wilson,978-7-15-5115-5,Engineering,true
B0473,Mastering Science (Vol. 3),Jessica Taylor,978-7-11-2681-8,Chemistry,true
B0474,Advanced Legends (Vol. 2),Elizabeth Johnson,978-4-4-7751-6,Mathematics,true
B0475,Golden Engines (Vol. 3),Charles Jackson,978-4-8-0198-4,Mathematics,true
B0476,Dark Science,Karen Garcia,978-7-31-8134-7,Business,true
B0477,Quantum Patterns,Mary Johnson,978-3-56-2068-3,Mathematics,true
B0478,Ultimate Journey (Vol. 2),Elizabeth Jones,978-8-92-7811-7,Mathematics,true
B0479,Advanced Dreams (Vol. 3),Sarah Wilson,978-8-7-7077-3,Literature,true
B0480,Introduction to Legends (Vol. 2),Jennifer Thomas,978-1-11-1835-0,Mathematics,true
B0481,Quantum Physics,Robert Brown,978-0-66-7892-6,Engineering,true
B0482,Introduction to Engines,Joseph Hernandez,978-1-94-0599-5,Literature,true
B0483,Dark Principles (Vol. 2),Robert Rodriguez,978-6-62-7116-0,History,true
B0484,Advanced Systems (Vol. 3),Linda Thompson,978-8-55-6140-5,Fiction,true
B0485,Introduction to Dreams (Vol. 2),Susan Brown,978-0-42-0980-3,Engineering,true
B0486,Computational Chronicles (Vol. 3),Karen Davis,978-8-23-0308-2,Chemistry,true
B0487,Dark Whispers,Richard Garcia,978-3-34-4177-0,History,true
B0488,Practical Chronicles,Charles Hernandez,978-2-16-4605-7,Chemistry,true
B0489,Ultimate Networks (Vol. 1),Linda Jones,978-1-29-2169-3,History,true
B0490,Golden Future (Vol. 3),Linda Thomas,978-1-16-5211-0,Engineering,true
B0491,Global Secrets,David Thompson,978-7-26-2673-8,Fiction,true
B0492,Golden Systems (Vol. 2),William Taylor,978-5-13-3781-4,History,true
B0493,Dark Future,Sarah Brown,978-4-19-2678-3,Chemistry,true
B0494,Practical Systems (Vol. 1),Mary Brown,978-2-80-0398-8,Engineering,true
B0495,Hidden Universe (Vol. 2),Michael Hernandez,978-5-19-5951-0,Literature,true
B0496,Lost Dreams (Vol. 2),Charles Rodriguez,978-5-32-1636-3,Computer Science,true
B0497,Designing Legends (Vol. 2),John Hernandez,978-6-56-8716-5,History,true
B0498,Beautiful Whispers (Vol. 1),Linda Thomas,978-8-9-5563-8,Mathematics,true
B0499,Beautiful Chronicles (Vol. 3),Michael Martin,978-3-53-0711-4,Business,true
B0500,Forgotten Systems (Vol. 1),John Williams,978-1-14-2201-7,Business,true
B0501,Ultimate Database (Vol. 3),Mary Jones,978-2-18-2085-6,Fiction,true
B0502,Lost Engines,Michael Williams,978-8-60-0847-2,Mathematics,true
B0503,Computational Secrets (Vol. 3),Mary Anderson,978-7-2-3149-6,History,true
B0504,Ultimate Engines (Vol. 2),William Jones,978-3-50-7971-8,Physics,true
B0505,Silent Systems (Vol. 2),Robert Rodriguez,978-5-85-3463-0,Engineering,true
B0506,Forgotten Principles (Vol. 1),Robert Thompson,978-1-23-0054-2,Biography,true
B0507,Ultimate Networks (Vol. 3),Charles Garcia,978-6-33-3819-8,Chemistry,true
B0508,Global Engines,Susan Thompson,978-1-50-1282-6,History,true
B0509,Ultimate Physics,Jennifer Martinez,978-4-3-3048-6,History,true
B0510,Modern Patterns (Vol. 3),Elizabeth Jackson,978-5-28-2329-4,Mathematics,true
B0511,Modern Database,Jessica Martin,978-7-54-8525-7,Physics,true
B0512,Ancient Art,Elizabeth Johnson,978-6-13-9415-1,Engineering,true
B0513,Forgotten Whispers (Vol. 1),Thomas Garcia,978-2-73-8105-1,Computer Science,true
B0514,Ancient Science,Mary Johnson,978-1-68-5834-5,Business,true
B0515,Modern Physics (Vol. 2),Barbara Williams,978-4-14-9163-6,Chemistry,true
B0516,Silent Patterns (Vol. 2),Patricia Thomas,978-8-44-3463-2,Chemistry,true
B0517,Dark Patterns,Robert White,978-7-1-8612-8,Chemistry,true
B0518,Modern Secrets (Vol. 2),John Garcia,978-1-61-5593-4,Computer Science,true
B0519,Golden Universe (Vol. 3),Jennifer Thomas,978-6-40-1430-0,Fiction,true
B0520,Golden Principles (Vol. 1),Elizabeth Moore,978-0-36-3744-5,Physics,true
B0521,Ancient Chemistry (Vol. 1),Elizabeth Jones,978-3-25-7173-0,Computer Science,true
B0522,Hidden Networks (Vol. 1),Linda Moore,978-8-19-9514-1,Computer Science,true
B0523,Hidden History (Vol. 1),Robert Garcia,978-8-86-7973-0,Mathematics,true
B0524,Golden Networks (Vol. 2),Jessica Davis,978-8-8-5402-0,Fiction,true
B0525,Practical Future,Robert Thomas,978-0-13-8679-5,History,true
B0526,Lost History (Vol. 3),Michael White,978-7-44-8835-6,Computer Science,true
B0527,Digital Secrets (Vol. 1),Linda Johnson,978-4-1-7800-8,Literature,true
B0528,Silent History,Michael Brown,978-0-60-7326-2,Chemistry,true
B0529,Ultimate Database (Vol. 2),Patricia Martin,978-5-64-1450-5,History,true
B0530,Computational Future (Vol. 2),Barbara Hernandez,978-4-26-2820-7,History,true
B0531,Modern Patterns,John Wilson,978-5-32-6597-2,Fiction,true
B0532,Quantum Chronicles (Vol. 2),Mary Jones,978-6-91-8033-0,Physics,true
B0533,Dark Database (Vol. 1),Linda Johnson,978-1-82-0803-6,Business,true
B0534,Ultimate Patterns,William Thomas,978-3-44-1749-3,Engineering,true
B0535,Advanced Art,Barbara Thomas,978-6-70-0178-4,Literature,true
B0536,Practical Physics (Vol. 1),Elizabeth Martinez,978-2-67-0231-3,Fiction,true
B0537,Designing Engines (Vol. 1),Joseph Miller,978-8-29-0619-3,Literature,true
B0538,Dark Algorithms (Vol. 1),Michael Thompson,978-1-36-7996-2,Biography,true
B0539,Hidden History,Michael Anderson,978-0-9-2461-2,Computer Science,true
B0540,Advanced Chemistry (Vol. 3),David Brown,978-2-59-5708-8,Literature,true
B0541,Global Universe (Vol. 3),Linda Williams,978-7-89-9140-2,History,true
B0542,Computational History,William Wilson,978-7-8-8390-4,Fiction,true
B0543,Quantum Networks,Robert Jones,978-7-18-9373-2,Business,true
B0544,Global Dreams (Vol. 2),John Thompson,978-8-22-9047-1,History,true
B0545,Ancient Science (Vol. 2),David Davis,978-4-24-6989-7,Chemistry,true
B0546,Introduction to Networks (Vol. 1),Linda Martin,978-1-81-5817-8,Fiction,true
B0547,Ancient Database (Vol. 2),Thomas Anderson,978-8-45-7612-1,Business,true
B0548,Global Algorithms (Vol. 2),Elizabeth Jones,978-8-17-8479-8,History,true
B0549,Hidden History (Vol. 3),David Smith,978-1-83-0816-5,Business,true
B0550,Ancient Chronicles (Vol. 1),Charles Taylor,978-2-1-9434-7,Mathematics,true
B0551,Dark Engines,Jessica Smith,978-6-70-4344-4,Computer Science,true
B0552,Mastering History,Charles White,978-3-15-6133-1,Mathematics,true
B0553,Digital Chemistry (Vol. 2),Michael Jackson,978-6-94-9806-6,Chemistry,true
B0554,Ancient Principles (Vol. 2),Mary Anderson,978-1-13-6065-4,Engineering,true
B0555,Practical Journey,Barbara Thomas,978-2-65-6838-1,Engineering,true
B0556,Practical Universe (Vol. 3),Barbara Hernandez,978-2-29-4458-7,Literature,true
B0557,Quantum Physics (Vol. 3),Sarah Thomas,978-6-52-8299-4,Physics,true
B0558,Ultimate Engines,Elizabeth Rodriguez,978-1-2-5278-6,Literature,true
B0559,Modern Universe (Vol. 3),Sarah Martinez,978-3-9-8238-4,Fiction,true
B0560,Golden Future (Vol. 1),Barbara Thompson,978-0-33-8656-1,Mathematics,true
